nrun,ntargets,px0,py0,pz0,px1,py1,pz1
1,4,0.0,0.0,-200.0,-6.927109169652113e-5,0.001206761881861862,-200.03356315774005
2,3,0.0,0.0,-200.0,-1.7735622415518861,-2.2252632730302295,-206.72263260103682
2,1,39.4436081867101,48.95118576750055,-49.174549641900995,39.443608186710094,48.95118576750054,-49.17454964190099
3,3,0.0,0.0,-200.0,-0.01839893222161261,0.0007215121096262322,-200.19663044404578
4,3,0.0,0.0,-200.0,-0.01913515837760915,-0.03337337811977292,-200.37583356153286
5,3,0.0,0.0,-200.0,9.544051347108926,8.849541001871298,-234.9586937188276
5,1,-26.074415500041624,-24.800858427523078,-105.30893843828436,-26.074415500041617,-24.80085842752307,-105.30893843828433
6,3,0.0,0.0,-200.0,-0.0015931821682171332,-0.0016047896611208756,-200.0364766947113
7,3,0.0,0.0,-200.0,0.0021721592849797133,-0.0037223480975012713,-200.05063144733808
8,3,0.0,0.0,-200.0,0.04215714356322309,-0.07790330419013003,-200.4913615717378
8,2,-12.760363914916327,24.556973556955764,-7.124758006717001,-12.5361308023664,25.448132962866392,-8.657146984379482
9,3,0.0,0.0,-200.0,0.013930617084868757,0.024983615808588766,-200.28778861728887
10,3,0.0,0.0,-200.0,-0.02867183903862669,0.06779549891529668,-200.53587134137666
10,1,4.0357927700434395,-17.238919424298363,-3.565119348175854,4.035792770043435,-17.238919424298366,-3.5651193481758594
11,3,0.0,0.0,-200.0,-0.003774590244710385,0.004084579565389657,-200.08071676520868
12,3,0.0,0.0,-200.0,3.44064842968205,-2.1670830073121627,-209.15532239978202
12,1,-53.74201172037472,34.10593461077412,-57.02109371312595,-53.74201172037471,34.10593461077412,-57.02109371312594
13,2,0.0,0.0,-200.0,-0.016478430592263393,-0.04070990275159847,-200.44015828475528
14,2,0.0,0.0,-200.0,-1.0733116195083454,-0.3374229206189838,-203.69286650553758
14,2,53.07464877400622,13.865231453838648,-28.533445525813015,53.375394261802306,13.929343040891766,-28.720942198888544
15,2,0.0,0.0,-200.0,0.042354937802318915,-0.0775946909743448,-200.75933556955354
15,2,-1.2126447284720612,13.304370037448326,-2.4374627716765076,-1.8339647842483249,13.907569136503684,-1.2131239795242459
