# LAMMPS data file written by OVITO Pro 3.11.0

800 atoms
1 atom types

-49.19024293 0.0 xlo xhi
-16.78000058 16.78000058 ylo yhi
-16.78000058 16.78000058 zlo zhi

Masses

1 12.0107  # C

Atoms  # atomic

1 1 0.0 0.0 6.78000058
2 1 0.0 1.40964138 6.6318413
3 1 -1.22975607 2.0951354 6.44816373
4 1 -1.22975607 3.39000029 5.87165274
5 1 0.0 3.98518435 5.48513569
6 1 -2.45951215 5.03852234 4.5367059
7 1 -1.22975607 5.48513569 3.98518435
8 1 -1.22975607 6.19383873 2.75767467
9 1 0.0 6.44816373 2.0951354
10 1 -2.45951215 6.74285902 0.70870304
11 1 -1.22975607 6.78000058 0.0
12 1 -1.22975607 6.6318413 -1.40964138
13 1 0.0 6.44816373 -2.0951354
14 1 -2.45951215 5.87165274 -3.39000029
15 1 -1.22975607 5.48513569 -3.98518435
16 1 -1.22975607 4.5367059 -5.03852234
17 1 0.0 3.98518435 -5.48513569
18 1 -2.45951215 2.75767467 -6.19383873
19 1 -1.22975607 2.0951354 -6.44816373
20 1 -1.22975607 0.70870304 -6.74285902
21 1 0.0 0.0 -6.78000058
22 1 -2.45951215 -1.40964138 -6.6318413
23 1 -1.22975607 -2.0951354 -6.44816373
24 1 -1.22975607 -3.39000029 -5.87165274
25 1 0.0 -3.98518435 -5.48513569
26 1 -2.45951215 -5.03852234 -4.5367059
27 1 -1.22975607 -5.48513569 -3.98518435
28 1 -1.22975607 -6.19383873 -2.75767467
29 1 0.0 -6.44816373 -2.0951354
30 1 -2.45951215 -6.74285902 -0.70870304
31 1 -1.22975607 -6.78000058 0.0
32 1 -1.22975607 -6.6318413 1.40964138
33 1 0.0 -6.44816373 2.0951354
34 1 -2.45951215 -5.87165274 3.39000029
35 1 -1.22975607 -5.48513569 3.98518435
36 1 -1.22975607 -4.5367059 5.03852234
37 1 0.0 -3.98518435 5.48513569
38 1 -2.45951215 -2.75767467 6.19383873
39 1 -1.22975607 -2.0951354 6.44816373
40 1 -1.22975607 -0.70870304 6.74285902
41 1 -2.45951215 0.0 6.78000058
42 1 -2.45951215 1.40964138 6.6318413
43 1 -3.68926822 2.0951354 6.44816373
44 1 -3.68926822 3.39000029 5.87165274
45 1 -2.45951215 3.98518435 5.48513569
46 1 -4.91902429 5.03852234 4.5367059
47 1 -3.68926822 5.48513569 3.98518435
48 1 -3.68926822 6.19383873 2.75767467
49 1 -2.45951215 6.44816373 2.0951354
50 1 -4.91902429 6.74285902 0.70870304
